time x1 y1 x2 y2
8.461999999999999744e+00 -1.387923648420457956e-01 -3.751488763964947459e-01 -5.368001398768976751e-01 -3.352764421617153712e-01
8.463000000000000966e+00 -1.283030734089737890e-01 -3.788645158282991088e-01 -5.271233629628793160e-01 -3.481663621356259064e-01
8.464000000000000412e+00 -1.171199755196045827e-01 -3.824694907234919006e-01 -5.164380195747072522e-01 -3.591221205930654192e-01
8.464999999999999858e+00 -1.053875559221625208e-01 -3.858671572662709659e-01 -5.049867993848072834e-01 -3.679661901392698442e-01
8.465999999999999304e+00 -9.323061864016335409e-02 -3.889833566464925840e-01 -4.929704270509666642e-01 -3.745581851849721922e-01
8.467000000000000526e+00 -8.074748230678417682e-02 -3.917650368538718730e-01 -4.805368175991865942e-01 -3.787847677326605100e-01
8.467999999999999972e+00 -6.800256342798847997e-02 -3.941771827075007395e-01 -4.677703331404714504e-01 -3.805488923118852118e-01
8.468999999999999417e+00 -5.501840055200554747e-02 -3.961981519400350482e-01 -4.546804583971423286e-01 -3.797591884997644773e-01
8.470000000000000639e+00 -4.176738320315321468e-02 -3.978133804943732588e-01 -4.411895322067262426e-01 -3.763204308278546018e-01
8.471000000000000085e+00 -2.816391376120464668e-02 -3.990072605375138415e-01 -4.271199209755685011e-01 -3.701263964996687195e-01
8.471999999999999531e+00 -1.405867833401152137e-02 -3.997528656101176914e-01 -4.121825534867876173e-01 -3.610568705545984525e-01
8.473000000000000753e+00 7.616357305055229156e-04 -3.999992748881102678e-01 -3.959714390226907188e-01 -3.489809703604719870e-01
8.474000000000000199e+00 1.656352682820177308e-02 -3.996569148394801263e-01 -3.779726516598242991e-01 -3.337691021267754077e-01
8.474999999999999645e+00 3.363718124642543078e-02 -3.985831657732111788e-01 -3.575999519555452255e-01 -3.153154913496784006e-01
8.476000000000000867e+00 5.224196775995531422e-02 -3.965737974256087761e-01 -3.342688840627749403e-01 -2.935720429586702873e-01
8.477000000000000313e+00 7.252945971342303344e-02 -3.933693906160963261e-01 -3.075105821404006123e-01 -2.685913212779950654e-01
8.477999999999999758e+00 9.446471071635423322e-02 -3.886855006676677160e-01 -2.771017698888313951e-01 -2.405694971748774669e-01
8.479000000000000981e+00 1.177846664383160463e-01 -3.822653167003444707e-01 -2.431579116390523709e-01 -2.098691005850746027e-01
8.480000000000000426e+00 1.420286638867642448e-01 -3.739356343470632282e-01 -2.061308091478218085e-01 -1.769966048575296880e-01
8.480999999999999872e+00 1.666378321190273848e-01 -3.636369520643781827e-01 -1.666949899263815427e-01 -1.425278619137383684e-01
8.481999999999999318e+00 1.910746702126229213e-01 -3.514121090730047969e-01 -1.255758652493067506e-01 -1.070099028806849040e-01
8.483000000000000540e+00 2.149058139042068216e-01 -3.373655156505632746e-01 -8.340372332347245621e-02 -7.088583537642334509e-02
